gene,trait
SNCA,Parkinson's disease
LRRK2,Parkinson's disease
KANSL1,Parkinson's disease
MAPT,Parkinson's disease
HLA-DQB1,Parkinson's disease
CRHR1,Parkinson's disease
TMEM175,Parkinson's disease
SETD1A,Parkinson's disease
PARK16,Parkinson's disease
MCCC1,Parkinson's disease
ITPKB,Parkinson's disease
DLG2,Parkinson's disease
FYN,Parkinson's disease
RIT2,Parkinson's disease
BST1,Parkinson's disease
GAK,Parkinson's disease
DGKQ,Parkinson's disease
SV2C,Parkinson's disease
SYT11,Parkinson's disease
ACMSD,Parkinson's disease
LAMP3,Parkinson's disease
STK39,Parkinson's disease
HLA-DRB5,Parkinson's disease
CCDC62,Parkinson's disease
HIP1R,Parkinson's disease
C20orf82,Parkinson's disease
STBD1,Parkinson's disease
ITGA8,Parkinson's disease
NSF,Parkinson's disease
C17orf69,Parkinson's disease
KIAA1267,Parkinson's disease
LOC644246,Parkinson's disease
NUCKS1,Parkinson's disease
SFXN2,Parkinson's disease
C10orf32,Parkinson's disease
CNNM2,Parkinson's disease
CYP17A1,Parkinson's disease
MMRN1,Parkinson's disease
BMP4,Parkinson's disease
HLA-DRA,Parkinson's disease
SEMA5A,Parkinson's disease
BRDG1,Parkinson's disease
SLC45A3,Parkinson's disease
PM20D1,Parkinson's disease
RAB7L1,Parkinson's disease
SLC41A1,Parkinson's disease
PLEKHM1,Parkinson's disease
IMP5,Parkinson's disease
TAS1R2,Parkinson's disease
DBC1,Parkinson's disease
NR,Parkinson's disease
SCARB2,Parkinson's disease
SYT4,Parkinson's disease
SREBF1,Parkinson's disease
RAI1,Parkinson's disease
GBA,Parkinson's disease
USP25,Parkinson's disease
PRDM15,Parkinson's disease
CNKSR3,Parkinson's disease
LOC642072,Parkinson's disease
SH3GL2,Parkinson's disease
SLC2A13,Parkinson's disease
POL3S,Parkinson's disease
WNT3,Parkinson's disease
STH,Parkinson's disease
UNC13B,Parkinson's disease
LRRC37A3,Parkinson's disease
DCUN1D1,Parkinson's disease
FAM126A,Parkinson's disease
KLHL7,Parkinson's disease
TIAL1,Parkinson's disease
BAG3,Parkinson's disease
FAM47E,Parkinson's disease
CD38,Parkinson's disease
ZNF184,Parkinson's disease
HIST1H2BL,Parkinson's disease
CTNND1,Parkinson's disease
OR9Q1,Parkinson's disease
PRICKLE1,Parkinson's disease
ADAMTS20,Parkinson's disease
SYT17,Parkinson's disease
CLEC19A,Parkinson's disease
NDUFAF2,Parkinson's disease
CA8,Parkinson's disease
HSD17B1,Parkinson's disease
GLU,Parkinson's disease
GPRIN3,Parkinson's disease
PKP2,Parkinson's disease
SYT10,Parkinson's disease
HLA-DQA1,Parkinson's disease
CERS6,Parkinson's disease
GCH1,Parkinson's disease
PRDM2,Parkinson's disease
KIAA1026,Parkinson's disease
WNT9A,Parkinson's disease
LOC728728,Parkinson's disease
PLEKHN1,Parkinson's disease
CYP1B1,Parkinson's disease
C2orf58,Parkinson's disease
COL5A2,Parkinson's disease
FLJ23172,Parkinson's disease
FNDC3B,Parkinson's disease
C3orf67,Parkinson's disease
LOC339902,Parkinson's disease
LOC285194,Parkinson's disease
IGSF11,Parkinson's disease
PAQR3,Parkinson's disease
ARD1B,Parkinson's disease
FGF10,Parkinson's disease
MRPS30,Parkinson's disease
TSG1,Parkinson's disease
MANEA,Parkinson's disease
PDE10A,Parkinson's disease
FLJ43860,Parkinson's disease
NCRNA00051,Parkinson's disease
ANXA1,Parkinson's disease
LOC100130911,Parkinson's disease
DMRT2,Parkinson's disease
SMARCA2,Parkinson's disease
BARX1,Parkinson's disease
PTPDC1,Parkinson's disease
FLJ35379,Parkinson's disease
LOC100132423,Parkinson's disease
MDGA2,Parkinson's disease
ATPBD4,Parkinson's disease
LOC100288892,Parkinson's disease
C18orf1,Parkinson's disease
ZNF396,Parkinson's disease
INO80C,Parkinson's disease
ZFP64,Parkinson's disease
TSHZ2,Parkinson's disease
RERE,Parkinson's disease
RAB25,Parkinson's disease
MROH3P,Parkinson's disease
SIPA1L2,Parkinson's disease
IL1R2,Parkinson's disease
CCNT2-AS1,Parkinson's disease
NGEF,Parkinson's disease
TBC1D5,Parkinson's disease
PARP9,Parkinson's disease
GM2AP1,Parkinson's disease
MED12L,Parkinson's disease
SPTSSB,Parkinson's disease
FAM47E:FAM47E-STBD1:FAM47E-STBD1,Parkinson's disease
SLC39A8,Parkinson's disease
RNU1-138P,Parkinson's disease
ELOVL7,Parkinson's disease
ZNF608,Parkinson's disease
HLA-DRB1,Parkinson's disease
CTSB,Parkinson's disease
RN7SL474P,Parkinson's disease
ZDHHC2,Parkinson's disease
CACNA1B,Parkinson's disease
IGSF9B,Parkinson's disease
BICD1,Parkinson's disease
RP11-630C16,Parkinson's disease
GPR65,Parkinson's disease
RP11-162I7,Parkinson's disease
TPM1,Parkinson's disease
STX1B,Parkinson's disease
POLRMTP1,Parkinson's disease
SRSF10P1,Parkinson's disease
MYLK2,Parkinson's disease
DYRK1A,Parkinson's disease
TRPM2,Parkinson's disease
SGK223,Parkinson's disease
RSL24D1P1,Parkinson's disease
C12orf40,Parkinson's disease
LOC100130985,Parkinson's disease
LOC100130066,Parkinson's disease
TMEM229B,Parkinson's disease
VPS13C,Parkinson's disease
BCKDK,Parkinson's disease
SPPL2B,Parkinson's disease
DDRGK1,Parkinson's disease
FGF20,Parkinson's disease
TMEM163,Parkinson's disease
HLA-DQB,Parkinson's disease
GPNMB,Parkinson's disease
INPP5F,Parkinson's disease
MIR4697,Parkinson's disease
CCDC82,Parkinson's disease
TMC3,Parkinson's disease
COL13A1,Parkinson's disease
HUSEYO,Parkinson's disease
HLA,Parkinson's disease
MICU3,Parkinson's disease
LSM7,Parkinson's disease
CCNT2,Parkinson's disease
FAM200B,Parkinson's disease
HLA-DRB6,Parkinson's disease
NUPL2,Parkinson's disease
OGFOD2,Parkinson's disease
ZNF646,Parkinson's disease
KAT8,Parkinson's disease
ARHGAP27,Parkinson's disease
SPPL2C,Parkinson's disease
SCN3A,Parkinson's disease
SATB1,Parkinson's disease
NCKIPSD,Parkinson's disease
CDC71,Parkinson's disease
ALAS1,Parkinson's disease
TLR9,Parkinson's disease
DNAH1,Parkinson's disease
BAP1,Parkinson's disease
PHF7,Parkinson's disease
NISCH,Parkinson's disease
STAB1,Parkinson's disease
ITIH3,Parkinson's disease
ITIH4,Parkinson's disease
ANK2,Parkinson's disease
