gene,trait
ALAD,Amyotrophic lateral sclerosis
ATXN2,Amyotrophic lateral sclerosis
ALS2,Amyotrophic lateral sclerosis
ANG,Amyotrophic lateral sclerosis
APEX1,Amyotrophic lateral sclerosis
C9orf72,Amyotrophic lateral sclerosis
CDH13,Amyotrophic lateral sclerosis
CHCHD10,Amyotrophic lateral sclerosis
CHMP2B,Amyotrophic lateral sclerosis
CHRNA4,Amyotrophic lateral sclerosis
CNOT1,Amyotrophic lateral sclerosis
CRYM,Amyotrophic lateral sclerosis
DAO,Amyotrophic lateral sclerosis
DCTN1,Amyotrophic lateral sclerosis
EWSR1,Amyotrophic lateral sclerosis
FBXO7,Amyotrophic lateral sclerosis
FIG4,Amyotrophic lateral sclerosis
FUS,Amyotrophic lateral sclerosis
GLE1,Amyotrophic lateral sclerosis
GRN,Amyotrophic lateral sclerosis
HNRNPA1,Amyotrophic lateral sclerosis
HNRNPA2B1,Amyotrophic lateral sclerosis
HNRNPD,Amyotrophic lateral sclerosis
LUM,Amyotrophic lateral sclerosis
MATR3,Amyotrophic lateral sclerosis
NEFH,Amyotrophic lateral sclerosis
NIPA1,Amyotrophic lateral sclerosis
OPTN,Amyotrophic lateral sclerosis
PFN1,Amyotrophic lateral sclerosis
PON1,Amyotrophic lateral sclerosis
PON2,Amyotrophic lateral sclerosis
PON3,Amyotrophic lateral sclerosis
PRPH,Amyotrophic lateral sclerosis
PSEN1,Amyotrophic lateral sclerosis
SETX,Amyotrophic lateral sclerosis
SMN1,Amyotrophic lateral sclerosis
SOD1,Amyotrophic lateral sclerosis
SPAST,Amyotrophic lateral sclerosis
SPG11,Amyotrophic lateral sclerosis
SQSTM1,Amyotrophic lateral sclerosis
SS18L1,Amyotrophic lateral sclerosis
TAF15,Amyotrophic lateral sclerosis
TARDBP,Amyotrophic lateral sclerosis
TBK1,Amyotrophic lateral sclerosis
TUBA4A,Amyotrophic lateral sclerosis
UBQLN2,Amyotrophic lateral sclerosis
VAPB,Amyotrophic lateral sclerosis
VCP,Amyotrophic lateral sclerosis
VEGFA,Amyotrophic lateral sclerosis
CD33,Amyotrophic lateral sclerosis
COL19A1,Amyotrophic lateral sclerosis
HSPB1,Amyotrophic lateral sclerosis
SIGMAR1,Amyotrophic lateral sclerosis
ARHGEF28,Amyotrophic lateral sclerosis
SRCAP,Amyotrophic lateral sclerosis
NAIP,Amyotrophic lateral sclerosis
CHGB,Amyotrophic lateral sclerosis
DPYSL3,Amyotrophic lateral sclerosis
EPHA4,Amyotrophic lateral sclerosis
ERBB4,Amyotrophic lateral sclerosis
P4HB,Amyotrophic lateral sclerosis
PDIA3,Amyotrophic lateral sclerosis
PARK7,Amyotrophic lateral sclerosis
TRPM2,Amyotrophic lateral sclerosis
KIFAP3,Amyotrophic lateral sclerosis
ZNF512B,Amyotrophic lateral sclerosis
CACNA1A,Cognitive decline
AFF4,Cognitive decline
MAPT,Cognitive decline
PGM3,Cognitive decline
SYT1,Cognitive decline
TTI2,Cognitive decline
ANKRD11,Cognitive decline
ZNF407,Cognitive decline
DMD,Cognitive decline
PRNP,Cognitive decline
ATRNL1,Cognitive decline
CDKL5,Cognitive decline
GPHN,Cognitive decline
NRXN1,Cognitive decline
TBC1D24,Cognitive decline
SCN1A,Cognitive decline
L1CAM,Cognitive decline
MECP2,Cognitive decline
CHD8,Cognitive decline
JARID2,Cognitive decline
SGCE,Cognitive decline
TOP3B,Cognitive decline
YWHAE,Cognitive decline
ZNF778,Cognitive decline
