id,node,node.type,node.label,pln
g01,A1BG,1,GENE,General
g02,A1CF,1,GENE,General
g03,A2M,1,GENE,General
g04,A2ML1,1,GENE,General
g05,A3GALT2,1,GENE,General
g06,A4GALT,1,GENE,General
g07,A4GNT,1,GENE,General
g08,AAAS,1,GENE,General
g09,AACS,1,GENE,General
g010,AADAC,1,GENE,General
g011,AADACL2,1,GENE,General
g012,AADACL3,1,GENE,General
g013,AADACL4,1,GENE,General
g014,AADAT,1,GENE,General
g015,AAGAB,1,GENE,General
g016,AAK1,1,GENE,General
g017,AAMDC,1,GENE,General
g018,AAMP,1,GENE,General
g019,AANAT,1,GENE,General
g020,AAR2,1,GENE,General
g021,AARD,1,GENE,General
g022,AARS,1,GENE,General
g023,AARS2,1,GENE,General
g024,AARSD1,1,GENE,General
g025,AASDH,1,GENE,General
g026,AASDHPPT,1,GENE,General
g027,AASS,1,GENE,General
g028,AATK,1,GENE,General
g029,ABAT,1,GENE,General
g030,ABCA1,1,GENE,General
g031,ABCA10,1,GENE,General
g032,ABCA12,1,GENE,General
g033,ABCA13,1,GENE,General
g034,ABCA2,1,GENE,General
g035,ABCA3,1,GENE,General
g036,ABCA4,1,GENE,General
g037,ABCA5,1,GENE,General
g038,ABCA6,1,GENE,General
g039,ABCA7,1,GENE,General
g040,ABCA8,1,GENE,General
g041,ABCA9,1,GENE,General
g042,ABCB1,1,GENE,General
g043,ABCB10,1,GENE,General
g044,ABCB11,1,GENE,General
g045,ABCB4,1,GENE,General
g046,ABCB5,1,GENE,General
g047,ABCB6,1,GENE,General
g048,ABCB8,1,GENE,General
g049,ABCB9,1,GENE,General
g050,ABCC1,1,GENE,General
g051,ABCC10,1,GENE,General
g052,ABCC11,1,GENE,General
g053,ABCC12,1,GENE,General
g054,ABCC2,1,GENE,General
g055,ABCC3,1,GENE,General
g056,ABCC4,1,GENE,General
g057,ABCC5,1,GENE,General
g058,ABCC6,1,GENE,General
g059,ABCC8,1,GENE,General
g060,ABCC9,1,GENE,General
g061,ABCD2,1,GENE,General
g062,ABCD3,1,GENE,General
g063,ABCD4,1,GENE,General
g064,ABCE1,1,GENE,General
g065,ABCF1,1,GENE,General
g066,ABCF2,1,GENE,General
g067,ABCF3,1,GENE,General
g068,ABCG1,1,GENE,General
g069,ABCG2,1,GENE,General
g070,ABCG4,1,GENE,General
g071,ABCG5,1,GENE,General
g072,ABCG8,1,GENE,General
g073,ABHD1,1,GENE,General
g074,ABHD10,1,GENE,General
g075,ABHD11,1,GENE,General
g076,ABHD12,1,GENE,General
g077,ABHD12B,1,GENE,General
g078,ABHD13,1,GENE,General
g079,ABHD14A,1,GENE,General
g080,ABHD14B,1,GENE,General
g081,ABHD15,1,GENE,General
g082,ABHD16A,1,GENE,General
g083,ABHD16B,1,GENE,General
g084,ABHD17A,1,GENE,General
