id,node,node.type,node.label,dataset.type,pln
g01,ABCA1,1,GENE,1,General
g02,ABCA7,1,GENE,1,General
g03,ABCB10,1,GENE,1,General
g04,ABCB9,1,GENE,1,General
g05,ABCC5,1,GENE,1,General
g06,ABCC8,1,GENE,1,General
g07,ABI3BP,1,GENE,1,General
g08,ACADS,1,GENE,1,General
g09,ACD,1,GENE,1,General
g010,ACE,1,GENE,1,General
g011,ACHE,1,GENE,1,General
g012,ACMSD,1,GENE,1,General
g013,ACSL1,1,GENE,1,General
g014,ACSM1,1,GENE,1,General
g015,ACTR5,1,GENE,1,General
g016,ADAM10,1,GENE,1,General
g017,ADAM30,1,GENE,1,General
g018,ADAMTS20,1,GENE,1,General
g019,ADAMTS6,1,GENE,1,General
g020,ADAMTS9,1,GENE,1,General
g021,ADAMTSL3,1,GENE,1,General
g022,ADARB1,1,GENE,1,General
g023,ADCY3,1,GENE,1,General
g024,ADCY5,1,GENE,1,General
g025,ADCY7,1,GENE,1,General
g026,ADGRV1,1,GENE,1,General
g027,AFF1,1,GENE,1,General
g028,AGAP2,1,GENE,1,General
g029,AGBL2,1,GENE,1,General
g030,AGMO,1,GENE,1,General
g031,AGTR1,1,GENE,1,General
g032,AHI1,1,GENE,1,General
g033,AKAP10,1,GENE,1,General
g034,AKAP12,1,GENE,1,General
g035,AKAP13,1,GENE,1,General
g036,AKAP2,1,GENE,1,General
g037,AKAP6,1,GENE,1,General
g038,AKT3,1,GENE,1,General
g039,ALAS1,1,GENE,1,General
g040,ALDH1L1,1,GENE,1,General
g041,ALDH2,1,GENE,1,General
g042,ALDOA,1,GENE,1,General
g043,ALPK2,1,GENE,1,General
g044,ALPK3,1,GENE,1,General
g045,AMBRA1,1,GENE,1,General
g046,ANAPC7,1,GENE,1,General
g047,ANK1,1,GENE,1,General
g048,ANK2,1,GENE,1,General
g049,ANK3,1,GENE,1,General
g050,ANKH,1,GENE,1,General
g051,ANKRD30A,1,GENE,1,General
g052,ANKRD31,1,GENE,1,General
g053,ANKRD34C,1,GENE,1,General
g054,ANKRD44,1,GENE,1,General
g055,ANKRD55,1,GENE,1,General
g056,ANKRD63,1,GENE,1,General
g057,ANO4,1,GENE,1,General
g058,ANP32E,1,GENE,1,General
g059,ANTXR1,1,GENE,1,General
g060,ANXA1,1,GENE,1,General
g061,ANXA2,1,GENE,1,General
g062,AOC1,1,GENE,1,General
g063,AP2A2,1,GENE,1,General
g064,AP3B1,1,GENE,1,General
g065,AP3B2,1,GENE,1,General
g066,AP3S2,1,GENE,1,General
g067,APH1A,1,GENE,1,General
g068,APOA5,1,GENE,1,General
g069,APOC1,1,GENE,1,General
g070,APOE,1,GENE,1,General
g071,APOPT1,1,GENE,1,General
g072,ARAP1,1,GENE,1,General
g073,ARF5,1,GENE,1,General
g074,ARG1,1,GENE,1,General
g075,ARHGAP1,1,GENE,1,General
g076,ARHGAP19,1,GENE,1,General
g077,ARHGAP26,1,GENE,1,General
g078,ARHGAP27,1,GENE,1,General
g079,ARHGAP31,1,GENE,1,General
g080,ARHGEF10,1,GENE,1,General
g081,ARHGEF3,1,GENE,1,General
g082,ARID1B,1,GENE,1,General
g083,ARID5B,1,GENE,1,General
g084,ARL11,1,GENE,1,General
g085,ARL15,1,GENE,1,General
g086,ARL3,1,GENE,1,General
g087,ARL4A,1,GENE,1,General
g088,ARL6IP4,1,GENE,1,General
g089,ARNTL,1,GENE,1,General
g090,AS3MT,1,GENE,1,General
g091,ASAH1,1,GENE,1,General
g092,ASAP1,1,GENE,1,General
g093,ASB3,1,GENE,1,General
g094,ASCC2,1,GENE,1,General
g095,ASCL2,1,GENE,1,General
g096,ASF1A,1,GENE,1,General
g097,ASH1L,1,GENE,1,General
g098,ASH2L,1,GENE,1,General
g099,ASPG,1,GENE,1,General
g0100,ASPHD1,1,GENE,1,General
g0101,ASTN2,1,GENE,1,General
g0102,ATAD2B,1,GENE,1,General
g0103,ATF1,1,GENE,1,General
g0104,ATG13,1,GENE,1,General
g0105,ATP2A1,1,GENE,1,General
g0106,ATP2A2,1,GENE,1,General
g0107,ATP6AP1L,1,GENE,1,General
